ID,Ruta_ID,Autobus_ID,Fecha_Hora_Salida,Fecha_Hora_Llegada,Precio_Boleto
1,1,1,2024-07-01 08:00,2024-07-01 10:30,350.00
2,2,2,2024-07-01 09:00,2024-07-01 15:30,700.00
3,3,1,2024-07-01 12:00,2024-07-01 16:00,500.00
4,4,3,2024-07-01 07:00,2024-07-01 14:00,800.00
5,5,4,2024-07-01 10:00,2024-07-01 18:30,900.00
6,6,5,2024-07-01 06:00,2024-07-01 21:00,1500.00
7,7,6,2024-07-01 13:00,2024-07-01 23:30,1200.00
8,8,7,2024-07-01 15:00,2024-07-01 20:30,600.00
9,9,8,2024-07-01 11:00,2024-07-01 18:00,750.00
10,10,9,2024-07-01 16:00,2024-07-01 21:30,650.00
11,11,10,2024-07-01 18:00,2024-07-02 02:00,950.00
12,12,1,2024-07-01 20:00,2024-07-02 02:00,700.00
13,13,2,2024-07-01 22:00,2024-07-02 08:30,1300.00
14,14,3,2024-07-01 23:00,2024-07-02 06:00,850.00
15,15,4,2024-07-02 06:00,2024-07-02 11:30,650.00
16,16,5,2024-07-02 08:00,2024-07-02 16:30,900.00
17,17,6,2024-07-02 10:00,2024-07-02 14:00,500.00
18,18,7,2024-07-02 12:00,2024-07-02 17:30,600.00
19,19,8,2024-07-02 14:00,2024-07-02 22:00,950.00
20,20,9,2024-07-02 16:00,2024-07-03 06:00,1400.00


