id_tendencia,nombre_tendencia,descripcion_tendencia,hex_color,fuente_sitio
1,Sunlit Ochre,Cálido, terroso,#E2B659,sherwin-williams.com
2,Digital Lavender,Suave, relajante,#BFA5C8,pantone.com
3,Verdant Green,Natural, fresco,#4B8F29,architecturaldigest.com
4,Peach Fuzz,Vibrante, optimista,#FFBE98,behr.com
5,Blue Nova,Profundo, sofisticado,#355C7D,elledecor.com
6,Copper Glow,Metálico, acogedor,#B87333,domino.com
7,Arctic Blue,Frío, moderno,#A2C7E5,housebeautiful.com
8,Terra Cotta,Terroso, clásico,#E2725B,sherwin-williams.com
9,Pistachio Cream,Pastel, calmante,#C5E3BF,pantone.com
10,Urban Charcoal,Neutro, elegante,#444444,architecturaldigest.com

